 ep year mon day hour min sec gx gy gz
164 2019 03 06 05 16 23.358434711 0.010000 -0.030000 -0.020000
165 2019 03 06 05 16 24.388501399 0.000000 0.010000 -0.020000
166 2019 03 06 05 16 25.418560403 -0.050000 -0.010000 -0.010000
167 2019 03 06 05 16 26.448641043 -0.040000 -0.020000 -0.020000
168 2019 03 06 05 16 27.478716394 -0.080000 -0.020000 -0.020000
169 2019 03 06 05 16 28.508750883 -0.060000 -0.030000 -0.020000
170 2019 03 06 05 16 29.538840810 -0.050000 -0.030000 -0.020000
171 2019 03 06 05 16 30.568907687 -0.040000 -0.020000 -0.020000
172 2019 03 06 05 16 31.598978389 -0.040000 -0.020000 -0.020000
173 2019 03 06 05 16 32.629031094 -0.050000 -0.030000 -0.020000
174 2019 03 06 05 16 33.659099810 -0.040000 -0.010000 -0.020000
175 2019 03 06 05 16 34.689138861 -0.100000 -0.010000 -0.020000
176 2019 03 06 05 16 35.719195799 -0.070000 -0.040000 -0.020000
177 2019 03 06 05 16 36.749461504 -0.050000 -0.020000 -0.020000
178 2019 03 06 05 16 37.779534737 -0.050000 -0.020000 -0.020000
179 2019 03 06 05 16 38.809672417 -0.040000 -0.020000 -0.020000
180 2019 03 06 05 16 39.839750642 -0.050000 -0.020000 -0.020000
181 2019 03 06 05 16 40.869840451 -0.050000 -0.020000 -0.010000
182 2019 03 06 05 16 41.899907367 -0.050000 -0.020000 -0.020000
183 2019 03 06 05 16 42.929981128 -0.040000 -0.030000 -0.020000
184 2019 03 06 05 16 43.960066681 -0.060000 -0.020000 -0.020000
185 2019 03 06 05 16 44.990130017 -0.050000 -0.020000 -0.020000
186 2019 03 06 05 16 46.020245717 -0.040000 -0.020000 -0.010000
187 2019 03 06 05 16 47.050311232 -0.040000 -0.020000 -0.020000
188 2019 03 06 05 16 48.081578351 -0.050000 -0.010000 -0.010000
189 2019 03 06 05 16 49.112071400 -0.060000 -0.020000 -0.020000
190 2019 03 06 05 16 50.143232003 -0.050000 -0.020000 -0.020000
191 2019 03 06 05 16 51.173338179 -0.060000 -0.020000 -0.020000
192 2019 03 06 05 16 52.203550154 -0.040000 -0.010000 -0.010000
193 2019 03 06 05 16 53.233805326 -0.040000 0.000000 -0.020000
194 2019 03 06 05 16 54.271083187 -0.050000 -0.020000 -0.020000
195 2019 03 06 05 16 55.301241843 -0.050000 -0.020000 -0.020000
196 2019 03 06 05 16 56.331394897 -0.050000 -0.020000 -0.010000
197 2019 03 06 05 16 57.361536826 -0.060000 -0.010000 -0.020000
198 2019 03 06 05 16 58.391688933 -0.050000 -0.010000 -0.020000
199 2019 03 06 05 16 59.421837416 -0.040000 -0.020000 -0.020000
200 2019 03 06 05 17 00.452030554 -0.050000 -0.020000 -0.020000
201 2019 03 06 05 17 01.482179183 -0.050000 -0.030000 -0.020000
202 2019 03 06 05 17 02.512349343 -0.050000 -0.030000 -0.020000
203 2019 03 06 05 17 03.542532337 -0.050000 -0.020000 -0.020000
204 2019 03 06 05 17 04.572690353 -0.070000 -0.030000 -0.010000
205 2019 03 06 05 17 05.602884691 -0.090000 -0.010000 -0.020000
206 2019 03 06 05 17 06.633076915 -0.050000 -0.030000 -0.010000
207 2019 03 06 05 17 07.663225567 -0.070000 0.000000 -0.180000
208 2019 03 06 05 17 08.693397209 -0.060000 -0.040000 -0.020000
209 2019 03 06 05 17 09.723575017 -0.070000 0.000000 -0.020000
210 2019 03 06 05 17 10.753767012 -0.090000 -0.040000 -0.020000
211 2019 03 06 05 17 11.783926426 -0.040000 -0.010000 -0.020000
212 2019 03 06 05 17 12.814089297 -0.050000 -0.030000 -0.020000
213 2019 03 06 05 17 13.844259273 -0.060000 -0.020000 -0.010000
214 2019 03 06 05 17 14.874413800 -0.050000 -0.020000 -0.020000
215 2019 03 06 05 17 15.904579286 -0.040000 -0.020000 -0.020000
216 2019 03 06 05 17 16.934748021 -0.050000 -0.020000 -0.020000
217 2019 03 06 05 17 17.964905579 -0.060000 -0.020000 -0.020000
218 2019 03 06 05 17 18.995090137 -0.050000 -0.020000 -0.020000
219 2019 03 06 05 17 20.025392368 -0.050000 -0.010000 -0.020000
220 2019 03 06 05 17 21.060486415 -0.050000 -0.020000 -0.020000
221 2019 03 06 05 17 22.091058784 -0.050000 -0.020000 -0.020000
222 2019 03 06 05 17 23.123179048 -0.060000 -0.030000 -0.010000
223 2019 03 06 05 17 24.153378761 -0.040000 -0.020000 -0.020000
224 2019 03 06 05 17 25.185186314 -0.030000 -0.020000 -0.010000
225 2019 03 06 05 17 26.223679901 -0.060000 -0.020000 -0.020000
226 2019 03 06 05 17 27.260612093 -0.060000 -0.030000 -0.020000
227 2019 03 06 05 17 28.290768191 -0.050000 -0.030000 -0.020000
228 2019 03 06 05 17 29.320925194 -0.060000 -0.010000 -0.020000
229 2019 03 06 05 17 30.351390230 -0.050000 -0.020000 -0.020000
230 2019 03 06 05 17 31.381465609 -0.030000 -0.020000 -0.010000
231 2019 03 06 05 17 32.411542831 -0.070000 -0.020000 -0.020000
232 2019 03 06 05 17 33.441616843 -0.050000 -0.030000 -0.020000
233 2019 03 06 05 17 34.471688376 -0.060000 -0.020000 -0.020000
234 2019 03 06 05 17 35.501787533 -0.060000 -0.020000 -0.020000
235 2019 03 06 05 17 36.531876918 -0.050000 -0.020000 -0.020000
236 2019 03 06 05 17 37.561952521 -0.070000 -0.020000 -0.020000
237 2019 03 06 05 17 38.592022051 -0.060000 -0.020000 -0.020000
238 2019 03 06 05 17 39.622110194 -0.050000 -0.020000 -0.020000
239 2019 03 06 05 17 40.652202418 -0.050000 -0.020000 -0.020000
240 2019 03 06 05 17 41.682275392 -0.050000 -0.020000 -0.020000
241 2019 03 06 05 17 42.712368750 -0.030000 -0.020000 -0.010000
242 2019 03 06 05 17 43.742455722 -0.060000 -0.020000 -0.020000
243 2019 03 06 05 17 44.772526464 -0.050000 -0.020000 -0.020000
244 2019 03 06 05 17 45.802592225 -0.050000 -0.020000 -0.020000
245 2019 03 06 05 17 46.832671859 -0.060000 -0.020000 -0.020000
246 2019 03 06 05 17 47.862729534 -0.060000 -0.030000 -0.010000
247 2019 03 06 05 17 48.892798062 -0.050000 -0.020000 -0.010000
248 2019 03 06 05 17 49.922873901 -0.040000 -0.020000 -0.020000
249 2019 03 06 05 17 50.952940332 -0.050000 -0.020000 -0.010000
250 2019 03 06 05 17 51.983317138 -0.060000 -0.040000 -0.020000
251 2019 03 06 05 17 53.013402827 -0.050000 -0.020000 -0.020000
252 2019 03 06 05 17 54.050956301 -0.050000 -0.030000 -0.020000
253 2019 03 06 05 17 55.080981197 -0.040000 -0.010000 -0.020000
254 2019 03 06 05 17 56.111737551 -0.050000 -0.020000 -0.010000
255 2019 03 06 05 17 57.146551262 -0.040000 -0.020000 -0.010000
256 2019 03 06 05 17 58.180732509 -0.060000 -0.020000 -0.020000
257 2019 03 06 05 17 59.211431994 -0.040000 -0.020000 -0.020000
258 2019 03 06 05 18 00.245842493 -0.040000 -0.040000 -0.020000
259 2019 03 06 05 18 01.276431759 -0.070000 -0.010000 -0.020000
260 2019 03 06 05 18 02.307110208 -0.040000 -0.020000 -0.020000
261 2019 03 06 05 18 03.337824039 -0.070000 -0.020000 -0.020000
262 2019 03 06 05 18 04.368394196 -0.030000 -0.020000 -0.020000
263 2019 03 06 05 18 05.398989632 -0.030000 -0.020000 -0.020000
264 2019 03 06 05 18 06.429602169 -0.070000 -0.020000 -0.020000
265 2019 03 06 05 18 07.460211392 -0.070000 -0.020000 -0.020000
266 2019 03 06 05 18 08.493534571 -0.040000 -0.020000 -0.020000
267 2019 03 06 05 18 09.524149976 -0.070000 -0.010000 -0.020000
268 2019 03 06 05 18 10.554786025 -0.020000 -0.020000 -0.020000
269 2019 03 06 05 18 11.585331106 -0.050000 -0.020000 -0.020000
270 2019 03 06 05 18 12.615954380 -0.020000 -0.040000 -0.020000
271 2019 03 06 05 18 13.646866883 -0.050000 -0.030000 -0.020000
272 2019 03 06 05 18 14.677397644 -0.050000 -0.030000 -0.020000
273 2019 03 06 05 18 15.707983527 -0.050000 -0.010000 -0.020000
274 2019 03 06 05 18 16.738527399 -0.050000 -0.020000 -0.020000
275 2019 03 06 05 18 17.769083111 -0.050000 -0.010000 -0.020000
276 2019 03 06 05 18 18.799640664 -0.040000 -0.030000 -0.020000
277 2019 03 06 05 18 19.830241151 -0.030000 -0.020000 -0.020000
278 2019 03 06 05 18 20.860938997 -0.070000 -0.010000 -0.020000
279 2019 03 06 05 18 21.891523687 -0.050000 -0.030000 -0.020000
280 2019 03 06 05 18 22.922120479 -0.030000 -0.020000 -0.010000
281 2019 03 06 05 18 23.952730934 -0.030000 -0.040000 -0.010000
282 2019 03 06 05 18 24.983292815 -0.020000 -0.020000 -0.020000
283 2019 03 06 05 18 26.013946223 -0.030000 -0.030000 -0.020000
284 2019 03 06 05 18 27.044537984 -0.050000 -0.010000 -0.020000
285 2019 03 06 05 18 28.080929401 -0.020000 -0.010000 -0.010000
286 2019 03 06 05 18 29.111798743 -0.020000 -0.020000 -0.020000
287 2019 03 06 05 18 30.151292926 -0.040000 -0.020000 -0.020000
288 2019 03 06 05 18 31.182650104 -0.060000 -0.020000 -0.020000
289 2019 03 06 05 18 32.212777123 -0.040000 -0.020000 -0.010000
290 2019 03 06 05 18 33.250449586 -0.050000 -0.020000 -0.020000
291 2019 03 06 05 18 34.280554871 -0.050000 -0.020000 -0.020000
292 2019 03 06 05 18 35.310642779 -0.040000 -0.020000 -0.020000
293 2019 03 06 05 18 36.340724611 -0.070000 -0.030000 -0.010000
294 2019 03 06 05 18 37.383336703 -0.050000 -0.020000 -0.010000
295 2019 03 06 05 18 38.413411643 -0.050000 -0.020000 -0.020000
296 2019 03 06 05 18 39.443489517 -0.060000 -0.020000 -0.010000
297 2019 03 06 05 18 40.473592461 -0.040000 -0.010000 -0.020000
298 2019 03 06 05 18 41.503657871 -0.070000 -0.030000 -0.020000
299 2019 03 06 05 18 42.562759463 -0.050000 -0.030000 -0.020000
300 2019 03 06 05 18 43.592831731 -0.050000 -0.020000 -0.020000
301 2019 03 06 05 18 44.622897559 -0.060000 -0.030000 -0.020000
302 2019 03 06 05 18 45.652986892 -0.040000 -0.020000 -0.020000
303 2019 03 06 05 18 46.683051870 -0.060000 -0.020000 -0.020000
304 2019 03 06 05 18 47.736665049 -0.050000 -0.020000 -0.020000
305 2019 03 06 05 18 48.766702979 -0.040000 -0.020000 -0.020000
306 2019 03 06 05 18 49.796745248 -0.040000 -0.020000 -0.020000
307 2019 03 06 05 18 50.826791493 -0.050000 -0.020000 -0.020000
308 2019 03 06 05 18 51.856838172 -0.060000 -0.020000 -0.020000
309 2019 03 06 05 18 52.912424513 -0.050000 -0.020000 -0.020000
310 2019 03 06 05 18 53.942496122 -0.050000 -0.030000 -0.020000
311 2019 03 06 05 18 54.972564310 -0.050000 -0.020000 -0.020000
312 2019 03 06 05 18 56.002634703 -0.050000 -0.020000 -0.020000
313 2019 03 06 05 18 57.035607433 -0.060000 -0.020000 -0.020000
314 2019 03 06 05 18 58.094438883 -0.060000 -0.020000 -0.020000
315 2019 03 06 05 18 59.126087672 -0.040000 -0.020000 -0.020000
316 2019 03 06 05 19 00.156281463 -0.070000 -0.030000 -0.010000
317 2019 03 06 05 19 01.186358973 -0.040000 -0.020000 -0.010000
318 2019 03 06 05 19 02.216485040 -0.050000 -0.010000 -0.020000
319 2019 03 06 05 19 03.246551126 -0.060000 -0.020000 -0.020000
320 2019 03 06 05 19 04.276582750 -0.050000 -0.020000 -0.020000
321 2019 03 06 05 19 05.306660795 -0.040000 -0.010000 -0.020000
322 2019 03 06 05 19 06.336708701 -0.040000 -0.020000 -0.020000
323 2019 03 06 05 19 07.366762979 -0.060000 -0.020000 -0.020000
324 2019 03 06 05 19 08.396814669 -0.050000 -0.020000 -0.020000
325 2019 03 06 05 19 09.426848043 -0.060000 -0.030000 -0.020000
326 2019 03 06 05 19 10.456917942 -0.060000 -0.020000 -0.020000
327 2019 03 06 05 19 11.486958849 -0.060000 -0.020000 -0.020000
328 2019 03 06 05 19 12.516999095 -0.040000 -0.010000 -0.020000
329 2019 03 06 05 19 13.547052118 -0.050000 -0.020000 -0.020000
330 2019 03 06 05 19 14.577095783 -0.050000 -0.010000 -0.010000
331 2019 03 06 05 19 15.607162953 -0.050000 -0.020000 -0.020000
332 2019 03 06 05 19 16.637203525 -0.060000 -0.030000 -0.020000
333 2019 03 06 05 19 17.667242968 -0.050000 0.000000 -0.020000
334 2019 03 06 05 19 18.697306801 -0.040000 -0.020000 -0.010000
335 2019 03 06 05 19 19.727351173 -0.050000 -0.020000 -0.020000
336 2019 03 06 05 19 20.757402852 -0.020000 -0.020000 -0.020000
337 2019 03 06 05 19 21.787450276 -0.060000 -0.040000 -0.020000
338 2019 03 06 05 19 22.817582559 -0.050000 -0.030000 -0.020000
339 2019 03 06 05 19 23.847642671 -0.060000 -0.020000 -0.020000
340 2019 03 06 05 19 24.877790402 -0.050000 -0.020000 -0.020000
341 2019 03 06 05 19 25.907997054 -0.050000 -0.020000 -0.010000
342 2019 03 06 05 19 26.938134609 -0.040000 -0.010000 -0.020000
343 2019 03 06 05 19 27.968384625 -0.050000 -0.020000 -0.010000
344 2019 03 06 05 19 29.029934378 -0.050000 -0.020000 -0.020000
345 2019 03 06 05 19 30.060652279 -0.050000 -0.020000 -0.020000
346 2019 03 06 05 19 31.099948780 -0.060000 -0.020000 -0.020000
